"lambda"	"resv"
1645	0.260745
1646	0.260959
1647	0.261307
1648	0.261287
1649	0.261808
1650	0.261729
1651	0.261732
1652	0.261502
1653	0.261841
1654	0.261213
1655	0.261262
1656	0.260978
1657	0.261106
1658	0.260464
1659	0.260148
1660	0.259846
1661	0.259558
1662	0.25903
1663	0.258789
1664	0.258258
1665	0.258037
1666	0.257425
1667	0.257091
1668	0.256487
1669	0.256107
1670	0.25616
1671	0.257679
1672	0.256955
1673	0.256706
1674	0.256222
1675	0.25575
1676	0.254974
1677	0.254683
1678	0.254097
1679	0.253593
1680	0.252803
1681	0.25241
1682	0.251552
1683	0.250899
1684	0.250375
1685	0.249764
1686	0.249
1687	0.248372
1688	0.247576
1689	0.24705
1690	0.246249
1691	0.245834
1692	0.245313
1693	0.244834
1694	0.243966
1695	0.243374
1696	0.242735
1697	0.242163
1698	0.241453
1699	0.240662
1700	0.239917
1701	0.239215
1702	0.238431
1703	0.237921
1704	0.237311
1705	0.236816
1706	0.236074
1707	0.235612
1708	0.234757
1709	0.234365
1710	0.233736
1711	0.233068
1712	0.232432
1713	0.231944
1714	0.231328
1715	0.230935
1716	0.230358
1717	0.229955
1718	0.229256
1719	0.228769
1720	0.228078
1721	0.22767
1722	0.227167
1723	0.22676
1724	0.226358
1725	0.225911
1726	0.225392
1727	0.2253
1728	0.225012
1729	0.224769
1730	0.224471
1731	0.22449
1732	0.224332
1733	0.224283
1734	0.224035
1735	0.223955
1736	0.224092
1737	0.223876
1738	0.223615
1739	0.223508
1740	0.223166
1741	0.22294
1742	0.222636
1743	0.222452
1744	0.221931
1745	0.221384
1746	0.220861
1747	0.220525
1748	0.219962
1749	0.219413
1750	0.218894
1751	0.21825
1752	0.217497
1753	0.216991
1754	0.216545
1755	0.216023
1756	0.215345
1757	0.214719
1758	0.214244
1759	0.213797
1760	0.213228
1761	0.212747
1762	0.212503
1763	0.212177
1764	0.211668
1765	0.211351
1766	0.211142
1767	0.211002
1768	0.210669
1769	0.21056
1770	0.210406
1771	0.210502
1772	0.210697
1773	0.210376
1774	0.210384
1775	0.210276
1776	0.210214
1777	0.210481
1778	0.210568
1779	0.21045
1780	0.21044
1781	0.210304
1782	0.21022
1783	0.209942
1784	0.209765
1785	0.209318
1786	0.209106
1787	0.208836
1788	0.208929
1789	0.208952
1790	0.208821
1791	0.208972
1792	0.2089
1793	0.208943
1794	0.209018
1795	0.209131
1796	0.209049
1797	0.209274
1798	0.209631
1799	0.209779
1800	0.209808
1801	0.210215
1802	0.210391
1803	0.210592
1804	0.210751
1805	0.21103
1806	0.211098
1807	0.211267
1808	0.211077
1809	0.21108
1810	0.211214
1811	0.211074
1812	0.211001
1813	0.211089
1814	0.211195
1815	0.211389
1816	0.211212
1817	0.211337
1818	0.211375
1819	0.211386
1820	0.21152
1821	0.211551
1822	0.211481
1823	0.211598
1824	0.211409
1825	0.211727
1826	0.21171
1827	0.211502
1828	0.211171
1829	0.211154
1830	0.21097
1831	0.210798
1832	0.210187
1833	0.209935
1834	0.209656
1835	0.209156
1836	0.208968
1837	0.20866
1838	0.208116
1839	0.207696
1840	0.207139
1841	0.206239
1842	0.205453
1843	0.204409
1844	0.203523
1845	0.202479
1846	0.201453
1847	0.200478
1848	0.198903
1849	0.197388
1850	0.195745
1851	0.194413
1852	0.191937
1853	0.190099
1854	0.188159
1855	0.186214
1856	0.184048
1857	0.181599
1858	0.178821
1859	0.176298
1860	0.173253
1861	0.170541
1862	0.165873
1863	0.162341
1864	0.158677
1865	0.155295
1866	0.151253
1867	0.147686
1868	0.143503
1869	0.14018
1870	0.134138
1871	0.129729
1872	0.125334
1873	0.120587
1874	0.116104
1875	0.111059
1876	0.106598
1877	0.099636
1878	0.094659
1879	0.0901
1880	0.085535
1881	0.080617
1882	0.076464
1883	0.070197
1884	0.065931
1885	0.062057
1886	0.05837
1887	0.05464
1888	0.050247
1889	0.047028
1890	0.044227
1891	0.041645
1892	0.039143
1893	0.036269
1894	0.034237
1895	0.032522
1896	0.030962
1897	0.029652
1898	0.027816
1899	0.026779
1900	0.025802
1901	0.02486
1902	0.023805
1903	0.023083
1904	0.022486
1905	0.021964
1906	0.021297
1907	0.020875
1908	0.020466
1909	0.020138
1910	0.01972
1911	0.019434
1912	0.01918
1913	0.018951
1914	0.018679
1915	0.018517
1916	0.018344
1917	0.018191
1918	0.018013
1919	0.017901
1920	0.017801
1921	0.017688
1922	0.017614
1923	0.01755
1924	0.017479
1925	0.017453
1926	0.017408
1927	0.017397
1928	0.01739
1929	0.017396
1930	0.017405
1931	0.017445
1932	0.017472
1933	0.017508
1934	0.017583
1935	0.01764
1936	0.017718
1937	0.017825
1938	0.017904
1939	0.017999
1940	0.01813
1941	0.018245
1942	0.018367
1943	0.018539
1944	0.018685
1945	0.018828
1946	0.019011
1947	0.01919
1948	0.01932
1949	0.019563
1950	0.019719
1951	0.019988
1952	0.020161
1953	0.020354
1954	0.020624
1955	0.020847
1956	0.02103
1957	0.021337
1958	0.021559
1959	0.021855
1960	0.022104
1961	0.022307
1962	0.022679
1963	0.022896
1964	0.023261
1965	0.02352
1966	0.023788
1967	0.02415
1968	0.024446
1969	0.024823
1970	0.025086
1971	0.025557
1972	0.025818
1973	0.026065
1974	0.026557
1975	0.026862
1976	0.027284
1977	0.027593
1978	0.02809
1979	0.028408
1980	0.028878
1981	0.029219
1982	0.029535
1983	0.030086
1984	0.03042
1985	0.030941
1986	0.03129
1987	0.031784
1988	0.032125
1989	0.032652
1990	0.033044
1991	0.033532
1992	0.033905
1993	0.034426
1994	0.034814
1995	0.035344
1996	0.035703
1997	0.036262
1998	0.036622
1999	0.03721
2000	0.037584
2001	0.037948
2002	0.038505
2003	0.039114
2004	0.039463
2005	0.040048
2006	0.040437
2007	0.040978
2008	0.041349
2009	0.041909
2010	0.042242
2011	0.042799
2012	0.043165
2013	0.043753
2014	0.044107
2015	0.044663
2016	0.045009
2017	0.045543
2018	0.045839
2019	0.046326
2020	0.046664
2021	0.047165
2022	0.047664
2023	0.047923
2024	0.048428
2025	0.048731
2026	0.049201
2027	0.049434
2028	0.049894
2029	0.05036
2030	0.050623
2031	0.050968
2032	0.051247
2033	0.05167
2034	0.051891
2035	0.052313
2036	0.05273
2037	0.052894
2038	0.053329
2039	0.053486
2040	0.053872
2041	0.054252
2042	0.054411
2043	0.054785
2044	0.054945
2045	0.055289
2046	0.055636
2047	0.055813
2048	0.056175
2049	0.056341
2050	0.056673
2051	0.057005
2052	0.057166
2053	0.057484
2054	0.05786
2055	0.058018
2056	0.058401
2057	0.058587
2058	0.058996
2059	0.059384
2060	0.059634
2061	0.060066
2062	0.060448
2063	0.060742
2064	0.061129
2065	0.061615
2066	0.061824
2067	0.062248
2068	0.06269
2069	0.062959
2070	0.063376
2071	0.063846
2072	0.064063
2073	0.064487
2074	0.06491
2075	0.065218
2076	0.065612
2077	0.06606
2078	0.066314
2079	0.066719
2080	0.067083
2081	0.067303
2082	0.067765
2083	0.068148
2084	0.068355
2085	0.06873
2086	0.069057
2087	0.069524
2088	0.069767
2089	0.070154
2090	0.070528
2091	0.07078
2092	0.071087
2093	0.071534
2094	0.071865
2095	0.07209
2096	0.072391
2097	0.072782
2098	0.073045
2099	0.073386
2100	0.07373
